"id","name","name_reverse"
"3464","ist verlobt mit","ist verlobt mit"
"3459","ist Stiefgeschwister von","ist Stiefgeschwister von"
"3429","ist Vormund von","steht unter Vormundschaft von"
"3403","ist biologisches Kind von","ist biologisches Elternteil von"
"3402","ist biologisches Elternteil von","ist biologisches Kind von"
"1530","ist Schüler/Schülerin von","ist Lehrer/Lehrerin von"
"1523","ist Halbgeschwister von","ist Halbgeschwister von"
"1424","ist Lehrer/Lehrerin von","ist Schüler/Schülerin von"
"1405","in beruflichem Bezug zu","in beruflichem Bezug zu"
"1310","ist Großonkel/Großtante von","ist Großneffe/Großnichte von"
"1309","ist Großneffe/Großnichte von","ist Großonkel/Großtante von"
"1247","ist Arbeitgeber/Arbeitgeberin für","arbeitet für"
"1186","arbeitet zusammen mit","arbeitet zusammen mit"
"1178","arbeitet für","ist Arbeitgeber/Arbeitgeberin für"
"1177","Freundschaft","Freundschaft"
"1176","in Bezug zu","in Bezug zu"
"1175","ist Neffe/Nichte von","ist Onkel/Tante von"
"1174","ist Stiefelternteil von","ist Stiefkind von"
"1173","ist Stiefkind von","ist Stiefelternteil von"
"1171","hinterlässt durch Tod","ist durch Tod getrennt von"
"1170","ist durch Tod getrennt von","hinterlässt durch Tod"
"1169","ist geschieden von","ist geschieden von"
"1122","ist adoptiertes Kind von","ist adoptiertes Elternteil von"
"1121","ist Enkel/Enkelin von","ist Großelternteil von"
"1120","ist Kind von","ist Elternteil von"
"1118","ist verschwägert mit","ist verschwägert mit"
"1117","ist Großelternteil von","ist Enkel von"
"1116","ist Geschwister von","ist Geschwister von"
"1115","ist verheiratet mit","ist verheiratet mit"
"1114","in intimer Beziehung zu","in intimer Beziehung zu"
"1113","ist adoptiertes Elternteil von","ist adoptiertes Kind von"
"1112","ist Cousin/Cousine von","ist Cousin/Cousine von"
"1111","ist Onkel/Tante von","ist Neffe/Nichte von"
"1110","ist verwandt zu","ist verwandt zu"
"1109","ist Elternteil von","ist Kind von"